startTime,length,frequency,bandwidth,frequencyb,showTime
1000, 500, 1350, 100, 355, 0
200, 500, 1250, 200, 355, 0
1000, 500, 350, 200, 355, 0
2500, 500, 550, 100, 255, 0
3200, 1000, 600, 200, 355, 0
2300, 300, 1350, 150, 355, 0
2600, 1500, 1150, 400, 355, 0
1, 500, 530, 1000, 355, 0
3000, 500, 550, 200, 355, 0
600, 500, 1150, 300, 355, 0
1200, 1000, 950, 200, 355, 0
300, 1350, 1200, 150, 355, 0
1800, 1700, 1300, 400, 355, 0

100, 200, 1350, 200, 355, 0
200, 100, 250, 400, 355, 0
3000, 100, 1250, 600, 355, 0
4000, 200, 1450, 300, 355, 0
2500, 1250, 150, 200, 355, 0
1500, 1300, 1150, 300, 355, 0
1000, 100, 1350, 200, 355, 0
1650, 1400, 1550, 300, 355, 0
2700, 1200, 250, 200, 355, 0
1800, 100, 1150, 200, 355, 0
2800, 300, 350, 200, 355, 0
1900, 100, 1150, 300, 355, 0
950, 500, 510, 200, 355, 0
2200, 200, 150, 400, 355, 0
