cbsd_id,type,band,weather,density,traffic
1,educational,n4,rainy,rural,video
2,ordinary,n4,sunny,urban,video
3,emergency,n3,emergency,urban,emergency
4,educational,n2,rainy,rural,emergency
5,government,n5,emergency,semi-urban,voice
6,scientific,n3,foggy,urban,video
7,educational,n5,snowy,rural,emergency
8,government,n3,snowy,rural,emergency
9,educational,n2,sunny,rural,data
10,government,n3,rainy,urban,video
11,educational,n3,sunny,rural,voice
12,emergency,n1,sunny,rural,voice
13,educational,n4,sunny,semi-urban,video
14,educational,n2,cloudy,rural,video
15,ordinary,n3,rainy,urban,voice
16,educational,n5,sunny,urban,data
17,government,n3,foggy,semi-urban,data
18,ordinary,n2,cloudy,rural,video
19,ordinary,n3,cloudy,semi-urban,voice
20,government,n5,emergency,rural,emergency
21,educational,n4,foggy,semi-urban,emergency
22,emergency,n5,rainy,rural,data
23,government,n4,snowy,semi-urban,video
24,scientific,n5,cloudy,rural,emergency
25,government,n2,emergency,rural,emergency
26,emergency,n1,cloudy,urban,emergency
27,scientific,n3,sunny,rural,video
28,educational,n1,snowy,rural,video
29,scientific,n3,cloudy,rural,voice
30,emergency,n3,foggy,rural,voice
31,scientific,n5,foggy,rural,voice
32,scientific,n4,emergency,rural,emergency
33,emergency,n3,cloudy,urban,voice
34,educational,n3,emergency,urban,emergency
35,educational,n3,rainy,urban,emergency
36,government,n4,foggy,semi-urban,data
37,scientific,n1,foggy,rural,voice
38,scientific,n3,foggy,semi-urban,voice
39,emergency,n5,foggy,rural,video
40,educational,n2,emergency,urban,emergency
41,ordinary,n2,snowy,semi-urban,voice
42,government,n5,cloudy,urban,video
43,emergency,n1,cloudy,rural,voice
44,government,n3,emergency,semi-urban,voice
45,ordinary,n5,snowy,urban,emergency
46,emergency,n1,snowy,semi-urban,emergency
47,emergency,n2,emergency,rural,data
48,government,n1,rainy,urban,voice
49,ordinary,n2,snowy,urban,voice
50,government,n5,cloudy,rural,emergency
51,government,n1,snowy,semi-urban,voice
52,ordinary,n4,foggy,urban,voice
53,government,n3,foggy,semi-urban,voice
54,educational,n1,emergency,rural,data
55,scientific,n2,emergency,rural,video
56,ordinary,n5,foggy,semi-urban,voice
57,educational,n5,emergency,semi-urban,voice
58,educational,n2,sunny,rural,data
59,government,n1,sunny,rural,voice
60,educational,n5,sunny,semi-urban,data
61,ordinary,n4,cloudy,urban,voice
62,emergency,n3,snowy,rural,voice
63,emergency,n4,snowy,rural,emergency
64,government,n3,cloudy,urban,data
65,educational,n1,snowy,urban,data
66,emergency,n4,sunny,rural,voice
67,government,n1,cloudy,semi-urban,data
68,educational,n2,cloudy,urban,video
69,ordinary,n4,rainy,rural,voice
70,ordinary,n4,cloudy,rural,data
71,scientific,n5,foggy,rural,data
72,government,n3,cloudy,semi-urban,video
73,emergency,n4,sunny,urban,video
74,ordinary,n5,foggy,rural,voice
75,scientific,n4,foggy,semi-urban,voice
76,emergency,n5,foggy,rural,video
77,government,n3,snowy,rural,data
78,scientific,n2,snowy,semi-urban,voice
79,scientific,n1,snowy,urban,video
80,scientific,n4,cloudy,urban,voice
81,scientific,n2,foggy,urban,voice
82,educational,n5,cloudy,semi-urban,data
83,government,n5,rainy,urban,data
84,scientific,n5,sunny,rural,voice
85,ordinary,n5,foggy,semi-urban,emergency
86,educational,n2,sunny,urban,video
87,emergency,n4,foggy,rural,video
88,scientific,n5,sunny,rural,emergency
89,emergency,n3,emergency,urban,video
90,educational,n2,sunny,urban,voice
91,scientific,n3,rainy,rural,video
92,scientific,n4,sunny,urban,data
93,emergency,n1,foggy,rural,voice
94,scientific,n4,rainy,rural,voice
95,emergency,n1,emergency,rural,voice
96,emergency,n2,emergency,urban,video
97,emergency,n2,emergency,semi-urban,data
98,ordinary,n2,rainy,urban,voice
99,scientific,n4,emergency,urban,voice
100,emergency,n2,emergency,semi-urban,voice
