cbsd_id,secondary_user_type,target_band,location,data_type,start_time,duration,min_freq,max_freq,user_priority,traffic_priority,fading_priority,density_priority,overall_priority
2000,scientific,n4,"37.211525,-80.445081",data,1004,10,2600.0,2700.0,2.0,2.0,1.0,676.0,681.0
2419,scientific,n4,"37.211525,-80.445081",emergency,1423,7,2600.0,2700.0,2.0,4.0,1.0,676.0,683.0
1585,educational,n4,"37.211525,-80.445081",emergency,594,10,2600.0,2700.0,3.0,4.0,1.0,676.0,684.0
2418,scientific,n5,"37.211525,-80.445081",video,1424,7,2700.0,2800.0,2.0,1.0,1.0,676.0,680.0
1587,educational,n1,"37.211525,-80.445081",voice,587,8,2300.0,2400.0,3.0,3.0,6.0,676.0,688.0
1588,ordinary,n2,"37.211525,-80.445081",data,593,9,2400.0,2500.0,1.0,2.0,1.0,676.0,680.0
2417,government,n3,"37.211525,-80.445081",video,1419,10,2500.0,2600.0,4.0,1.0,1.0,676.0,682.0
2416,emergency,n5,"37.211525,-80.445081",data,1418,7,2700.0,2800.0,5.0,2.0,1.0,676.0,684.0
1591,ordinary,n4,"37.211525,-80.445081",emergency,595,5,2600.0,2700.0,1.0,4.0,1.0,676.0,682.0
1593,ordinary,n2,"37.211525,-80.445081",voice,594,5,2400.0,2500.0,1.0,3.0,1.0,676.0,681.0
2414,emergency,n2,"37.211525,-80.445081",emergency,1418,10,2400.0,2500.0,5.0,4.0,1.0,676.0,686.0
2406,ordinary,n5,"37.211525,-80.445081",data,1410,5,2700.0,2800.0,1.0,2.0,1.0,676.0,680.0
2402,scientific,n4,"37.211525,-80.445081",emergency,1408,7,2600.0,2700.0,2.0,4.0,1.0,676.0,683.0
1600,ordinary,n1,"37.211525,-80.445081",voice,606,10,2300.0,2400.0,1.0,3.0,6.0,676.0,686.0
1602,scientific,n1,"37.211525,-80.445081",data,606,6,2300.0,2400.0,2.0,2.0,6.0,676.0,686.0
1603,scientific,n4,"37.211525,-80.445081",emergency,604,5,2600.0,2700.0,2.0,4.0,1.0,676.0,683.0
1604,ordinary,n3,"37.211525,-80.445081",video,608,6,2500.0,2600.0,1.0,1.0,1.0,676.0,679.0
2397,scientific,n4,"37.211525,-80.445081",voice,1399,5,2600.0,2700.0,2.0,3.0,1.0,676.0,682.0
1606,ordinary,n2,"37.211525,-80.445081",emergency,607,10,2400.0,2500.0,1.0,4.0,1.0,676.0,682.0
2391,ordinary,n3,"37.211525,-80.445081",voice,1393,7,2500.0,2600.0,1.0,3.0,1.0,676.0,681.0
2387,emergency,n5,"37.211525,-80.445081",video,1391,5,2700.0,2800.0,5.0,1.0,1.0,676.0,683.0
1615,government,n4,"37.211525,-80.445081",emergency,623,10,2600.0,2700.0,4.0,4.0,1.0,676.0,685.0
2420,scientific,n4,"37.211525,-80.445081",emergency,1421,6,2600.0,2700.0,2.0,4.0,1.0,676.0,683.0
2382,scientific,n5,"37.211525,-80.445081",voice,1383,7,2700.0,2800.0,2.0,3.0,1.0,676.0,682.0
2421,government,n5,"37.211525,-80.445081",emergency,1427,7,2700.0,2800.0,4.0,4.0,1.0,676.0,685.0
2430,educational,n3,"37.211525,-80.445081",voice,1435,6,2500.0,2600.0,3.0,3.0,1.0,676.0,683.0
2466,government,n4,"37.211525,-80.445081",voice,1468,8,2600.0,2700.0,4.0,3.0,1.0,676.0,684.0
2465,emergency,n3,"37.211525,-80.445081",data,1466,5,2500.0,2600.0,5.0,2.0,1.0,676.0,684.0
2463,government,n5,"37.211525,-80.445081",voice,1464,6,2700.0,2800.0,4.0,3.0,1.0,676.0,684.0
2455,scientific,n4,"37.211525,-80.445081",data,1458,5,2600.0,2700.0,2.0,2.0,1.0,676.0,681.0
1558,ordinary,n2,"37.211525,-80.445081",data,561,10,2400.0,2500.0,1.0,2.0,1.0,676.0,680.0
1559,government,n4,"37.211525,-80.445081",emergency,563,5,2600.0,2700.0,4.0,4.0,1.0,676.0,685.0
1560,ordinary,n1,"37.211525,-80.445081",voice,562,7,2300.0,2400.0,1.0,3.0,6.0,676.0,686.0
2454,ordinary,n3,"37.211525,-80.445081",data,1456,9,2500.0,2600.0,1.0,2.0,1.0,676.0,680.0
1563,scientific,n5,"37.211525,-80.445081",data,564,6,2700.0,2800.0,2.0,2.0,1.0,676.0,681.0
1565,educational,n5,"37.211525,-80.445081",voice,571,8,2700.0,2800.0,3.0,3.0,1.0,676.0,683.0
2450,government,n3,"37.211525,-80.445081",video,1455,8,2500.0,2600.0,4.0,1.0,1.0,676.0,682.0
2448,emergency,n5,"37.211525,-80.445081",emergency,1448,7,2700.0,2800.0,5.0,4.0,1.0,676.0,686.0
2447,emergency,n2,"37.211525,-80.445081",emergency,1447,6,2400.0,2500.0,5.0,4.0,1.0,676.0,686.0
2446,government,n2,"37.211525,-80.445081",emergency,1453,10,2400.0,2500.0,4.0,4.0,1.0,676.0,685.0
2444,educational,n1,"37.211525,-80.445081",voice,1449,6,2300.0,2400.0,3.0,3.0,6.0,676.0,688.0
2443,government,n3,"37.211525,-80.445081",data,1444,9,2500.0,2600.0,4.0,2.0,1.0,676.0,683.0
2442,ordinary,n1,"37.211525,-80.445081",video,1442,10,2300.0,2400.0,1.0,1.0,6.0,676.0,684.0
2439,educational,n2,"37.211525,-80.445081",voice,1439,7,2400.0,2500.0,3.0,3.0,1.0,676.0,683.0
2438,government,n2,"37.211525,-80.445081",emergency,1440,5,2400.0,2500.0,4.0,4.0,1.0,676.0,685.0
2437,scientific,n2,"37.211525,-80.445081",emergency,1439,6,2400.0,2500.0,2.0,4.0,1.0,676.0,683.0
2435,educational,n1,"37.211525,-80.445081",video,1435,7,2300.0,2400.0,3.0,1.0,6.0,676.0,686.0
2425,ordinary,n5,"37.211525,-80.445081",video,1429,6,2700.0,2800.0,1.0,1.0,1.0,676.0,679.0
1548,educational,n3,"37.211525,-80.445081",data,550,7,2500.0,2600.0,3.0,2.0,1.0,676.0,682.0
1619,emergency,n1,"37.211525,-80.445081",video,620,8,2300.0,2400.0,5.0,1.0,6.0,676.0,688.0
2377,emergency,n1,"37.211525,-80.445081",data,1380,6,2300.0,2400.0,5.0,2.0,6.0,676.0,689.0
2342,ordinary,n5,"37.211525,-80.445081",voice,1344,6,2700.0,2800.0,1.0,3.0,1.0,676.0,681.0
2337,ordinary,n4,"37.211525,-80.445081",video,1343,9,2600.0,2700.0,1.0,1.0,1.0,676.0,679.0
1664,educational,n3,"37.211525,-80.445081",emergency,671,10,2500.0,2600.0,3.0,4.0,1.0,676.0,684.0
2334,educational,n2,"37.211525,-80.445081",video,1334,7,2400.0,2500.0,3.0,1.0,1.0,676.0,681.0
1666,emergency,n1,"37.211525,-80.445081",emergency,669,8,2300.0,2400.0,5.0,4.0,6.0,676.0,691.0
2331,emergency,n3,"37.211525,-80.445081",voice,1336,7,2500.0,2600.0,5.0,3.0,1.0,676.0,685.0
1670,scientific,n5,"37.211525,-80.445081",emergency,672,6,2700.0,2800.0,2.0,4.0,1.0,676.0,683.0
1673,emergency,n1,"37.211525,-80.445081",emergency,680,8,2300.0,2400.0,5.0,4.0,6.0,676.0,691.0
2328,ordinary,n5,"37.211525,-80.445081",video,1332,9,2700.0,2800.0,1.0,1.0,1.0,676.0,679.0
2324,ordinary,n2,"37.211525,-80.445081",emergency,1325,6,2400.0,2500.0,1.0,4.0,1.0,676.0,682.0
2319,ordinary,n3,"37.211525,-80.445081",data,1323,5,2500.0,2600.0,1.0,2.0,1.0,676.0,680.0
2317,scientific,n2,"37.211525,-80.445081",emergency,1318,6,2400.0,2500.0,2.0,4.0,1.0,676.0,683.0
2316,emergency,n2,"37.211525,-80.445081",data,1316,7,2400.0,2500.0,5.0,2.0,1.0,676.0,684.0
