cbsd_id,secondary_user_type,target_band,location,data_type,start_time,duration
1001,emergency,n3,"37.211525,-80.445081",video,9,9
1002,government,n5,"37.211525,-80.445081",video,4,5
1003,government,n4,"37.227279,-80.421665",emergency,7,6
1004,emergency,n1,"37.211525,-80.445081",emergency,7,7
1005,educational,n2,"37.211525,-80.445081",emergency,6,6
1006,emergency,n2,"37.231585,-80.416258",emergency,10,6
1007,educational,n4,"37.227279,-80.421665",data,10,5
1008,educational,n5,"37.231585,-80.416258",video,16,10
1009,ordinary,n2,"37.211525,-80.445081",voice,18,10
1010,educational,n1,"37.231585,-80.416258",voice,12,7
1011,scientific,n2,"37.211525,-80.445081",data,15,6
1012,scientific,n2,"37.231585,-80.416258",emergency,17,10
1013,ordinary,n2,"37.231585,-80.416258",video,17,6
1014,emergency,n1,"37.227279,-80.421665",video,19,6
1015,scientific,n2,"37.231585,-80.416258",video,23,10
1016,scientific,n5,"37.227279,-80.421665",data,16,6
1017,scientific,n4,"37.211525,-80.445081",data,19,9
1018,emergency,n4,"37.231585,-80.416258",voice,21,5
1019,educational,n2,"37.227279,-80.421665",voice,25,8
1020,scientific,n1,"37.231585,-80.416258",voice,20,8
1021,educational,n5,"37.211525,-80.445081",voice,25,9
1022,emergency,n2,"37.231585,-80.416258",emergency,23,8
1023,ordinary,n1,"37.231585,-80.416258",emergency,26,7
1024,ordinary,n2,"37.231585,-80.416258",voice,24,8
1025,educational,n3,"37.231585,-80.416258",voice,26,8
1026,emergency,n2,"37.231585,-80.416258",emergency,32,8
1027,emergency,n1,"37.227279,-80.421665",data,27,5
1028,scientific,n3,"37.231585,-80.416258",video,31,6
1029,scientific,n1,"37.211525,-80.445081",data,31,9
1030,educational,n4,"37.227279,-80.421665",data,33,9
1031,ordinary,n5,"37.231585,-80.416258",emergency,35,6
1032,scientific,n5,"37.227279,-80.421665",emergency,32,7
1033,scientific,n1,"37.211525,-80.445081",video,40,9
1034,government,n2,"37.211525,-80.445081",voice,38,5
1035,government,n2,"37.227279,-80.421665",video,35,10
1036,ordinary,n3,"37.227279,-80.421665",voice,42,10
1037,emergency,n3,"37.211525,-80.445081",voice,43,9
1038,ordinary,n3,"37.227279,-80.421665",video,42,10
1039,scientific,n1,"37.227279,-80.421665",emergency,46,10
1040,government,n2,"37.211525,-80.445081",video,43,9
1041,government,n3,"37.227279,-80.421665",data,45,5
1042,government,n1,"37.211525,-80.445081",data,43,9
1043,emergency,n5,"37.231585,-80.416258",data,44,7
1044,scientific,n5,"37.231585,-80.416258",data,44,5
1045,government,n1,"37.211525,-80.445081",emergency,48,7
1046,educational,n2,"37.211525,-80.445081",video,52,8
1047,government,n3,"37.231585,-80.416258",data,47,5
1048,scientific,n2,"37.231585,-80.416258",video,50,6
1049,emergency,n5,"37.231585,-80.416258",emergency,54,8
1050,ordinary,n3,"37.227279,-80.421665",emergency,51,8
1051,government,n4,"37.227279,-80.421665",emergency,51,8
1052,scientific,n1,"37.211525,-80.445081",voice,52,8
1053,emergency,n2,"37.227279,-80.421665",voice,58,7
1054,educational,n1,"37.211525,-80.445081",emergency,56,8
1055,emergency,n2,"37.231585,-80.416258",voice,55,6
1056,emergency,n5,"37.227279,-80.421665",data,56,5
1057,government,n4,"37.227279,-80.421665",data,62,7
1058,ordinary,n4,"37.211525,-80.445081",voice,60,6
1059,government,n2,"37.231585,-80.416258",voice,61,5
1060,scientific,n5,"37.211525,-80.445081",emergency,64,6
1061,educational,n3,"37.211525,-80.445081",voice,65,6
1062,scientific,n3,"37.231585,-80.416258",video,63,6
1063,emergency,n2,"37.231585,-80.416258",data,70,9
1064,emergency,n1,"37.227279,-80.421665",video,69,8
1065,government,n4,"37.231585,-80.416258",voice,74,10
1066,educational,n3,"37.227279,-80.421665",voice,66,6
1067,scientific,n2,"37.231585,-80.416258",voice,69,5
1068,ordinary,n4,"37.231585,-80.416258",voice,72,7
1069,educational,n4,"37.231585,-80.416258",data,69,6
1070,emergency,n5,"37.227279,-80.421665",video,75,9
1071,ordinary,n4,"37.211525,-80.445081",data,73,5
1072,ordinary,n3,"37.231585,-80.416258",emergency,75,6
1073,government,n5,"37.211525,-80.445081",voice,74,7
1074,ordinary,n5,"37.227279,-80.421665",data,78,8
1075,emergency,n3,"37.231585,-80.416258",emergency,77,6
1076,ordinary,n2,"37.211525,-80.445081",emergency,76,10
1077,emergency,n1,"37.227279,-80.421665",data,80,7
1078,educational,n5,"37.211525,-80.445081",video,78,6
1079,government,n1,"37.231585,-80.416258",voice,80,10
1080,ordinary,n1,"37.231585,-80.416258",data,83,5
1081,scientific,n4,"37.211525,-80.445081",data,81,7
1082,ordinary,n3,"37.231585,-80.416258",emergency,87,7
1083,scientific,n1,"37.211525,-80.445081",data,86,5
1084,educational,n4,"37.227279,-80.421665",data,87,7
1085,ordinary,n1,"37.231585,-80.416258",data,86,9
1086,emergency,n3,"37.227279,-80.421665",emergency,86,7
1087,emergency,n2,"37.227279,-80.421665",video,88,8
1088,government,n3,"37.231585,-80.416258",emergency,92,6
1089,educational,n5,"37.211525,-80.445081",video,90,7
1090,educational,n3,"37.211525,-80.445081",video,95,10
1091,scientific,n1,"37.211525,-80.445081",video,91,5
1092,educational,n3,"37.227279,-80.421665",voice,98,7
1093,emergency,n5,"37.231585,-80.416258",emergency,97,10
1094,emergency,n5,"37.231585,-80.416258",data,95,5
1095,ordinary,n1,"37.227279,-80.421665",data,97,7
1096,government,n4,"37.227279,-80.421665",video,100,9
1097,scientific,n5,"37.227279,-80.421665",video,97,9
1098,scientific,n1,"37.211525,-80.445081",emergency,101,10
1099,ordinary,n3,"37.211525,-80.445081",data,106,8
1100,educational,n5,"37.231585,-80.416258",voice,102,5
1101,scientific,n2,"37.211525,-80.445081",data,104,9
1102,educational,n1,"37.227279,-80.421665",voice,105,8
1103,government,n1,"37.211525,-80.445081",voice,107,9
1104,ordinary,n1,"37.211525,-80.445081",data,108,5
1105,scientific,n3,"37.211525,-80.445081",data,110,9
1106,scientific,n3,"37.231585,-80.416258",emergency,110,5
1107,government,n5,"37.231585,-80.416258",video,107,7
1108,government,n3,"37.211525,-80.445081",emergency,110,6
1109,educational,n4,"37.227279,-80.421665",data,114,7
1110,educational,n1,"37.227279,-80.421665",data,114,8
1111,educational,n4,"37.231585,-80.416258",emergency,113,5
1112,scientific,n3,"37.231585,-80.416258",data,118,8
1113,educational,n3,"37.231585,-80.416258",voice,120,8
1114,emergency,n5,"37.227279,-80.421665",voice,115,5
1115,government,n3,"37.211525,-80.445081",data,123,10
1116,emergency,n3,"37.227279,-80.421665",video,116,10
1117,scientific,n5,"37.211525,-80.445081",voice,118,7
1118,educational,n2,"37.227279,-80.421665",emergency,126,9
1119,emergency,n3,"37.211525,-80.445081",video,120,5
1120,emergency,n5,"37.227279,-80.421665",data,126,8
1121,emergency,n4,"37.227279,-80.421665",voice,127,10
1122,government,n5,"37.227279,-80.421665",emergency,126,6
1123,scientific,n3,"37.231585,-80.416258",emergency,127,6
1124,government,n5,"37.231585,-80.416258",emergency,126,6
1125,scientific,n1,"37.231585,-80.416258",data,126,5
1126,emergency,n5,"37.227279,-80.421665",video,130,6
1127,government,n1,"37.231585,-80.416258",voice,129,5
1128,educational,n1,"37.227279,-80.421665",video,131,6
1129,ordinary,n3,"37.231585,-80.416258",emergency,131,5
1130,ordinary,n3,"37.231585,-80.416258",video,132,6
1131,educational,n4,"37.211525,-80.445081",voice,137,10
1132,educational,n1,"37.211525,-80.445081",voice,139,9
1133,ordinary,n2,"37.227279,-80.421665",video,138,6
1134,ordinary,n4,"37.227279,-80.421665",video,139,7
1135,emergency,n5,"37.231585,-80.416258",emergency,136,10
1136,scientific,n1,"37.231585,-80.416258",emergency,143,8
1137,scientific,n4,"37.231585,-80.416258",data,140,9
1138,emergency,n5,"37.231585,-80.416258",emergency,140,8
1139,ordinary,n2,"37.231585,-80.416258",voice,139,5
1140,scientific,n1,"37.231585,-80.416258",emergency,146,9
1141,government,n4,"37.231585,-80.416258",voice,142,5
1142,government,n3,"37.227279,-80.421665",data,150,10
1143,government,n5,"37.227279,-80.421665",emergency,143,5
1144,government,n3,"37.211525,-80.445081",emergency,151,9
1145,ordinary,n5,"37.227279,-80.421665",voice,147,5
1146,ordinary,n5,"37.211525,-80.445081",emergency,148,6
1147,educational,n2,"37.231585,-80.416258",data,148,10
1148,educational,n3,"37.231585,-80.416258",voice,150,7
1149,educational,n5,"37.211525,-80.445081",data,156,10
1150,educational,n4,"37.227279,-80.421665",video,156,7
1151,emergency,n3,"37.211525,-80.445081",voice,152,8
1152,scientific,n4,"37.211525,-80.445081",video,152,5
1153,educational,n5,"37.231585,-80.416258",emergency,162,10
1154,emergency,n2,"37.227279,-80.421665",video,156,9
1155,government,n4,"37.227279,-80.421665",emergency,159,8
1156,emergency,n5,"37.227279,-80.421665",voice,160,8
1157,ordinary,n4,"37.227279,-80.421665",data,161,5
1158,educational,n4,"37.211525,-80.445081",voice,163,6
1159,scientific,n3,"37.211525,-80.445081",video,160,6
1160,educational,n5,"37.211525,-80.445081",video,160,5
1161,government,n1,"37.227279,-80.421665",emergency,167,9
1162,ordinary,n5,"37.227279,-80.421665",voice,164,9
1163,government,n3,"37.227279,-80.421665",video,168,10
1164,educational,n1,"37.231585,-80.416258",video,169,7
1165,ordinary,n2,"37.211525,-80.445081",voice,171,8
1166,ordinary,n4,"37.231585,-80.416258",data,172,7
1167,ordinary,n2,"37.231585,-80.416258",voice,168,9
1168,ordinary,n5,"37.227279,-80.421665",emergency,171,6
1169,ordinary,n4,"37.227279,-80.421665",data,171,6
1170,emergency,n3,"37.211525,-80.445081",voice,173,6
1171,government,n5,"37.227279,-80.421665",emergency,179,9
1172,emergency,n4,"37.231585,-80.416258",voice,175,5
1173,educational,n3,"37.211525,-80.445081",video,173,5
1174,government,n2,"37.227279,-80.421665",voice,174,8
1175,educational,n4,"37.211525,-80.445081",voice,175,7
1176,emergency,n5,"37.231585,-80.416258",video,182,8
1177,emergency,n2,"37.227279,-80.421665",voice,182,10
1178,emergency,n3,"37.211525,-80.445081",voice,183,6
1179,educational,n1,"37.211525,-80.445081",data,183,10
1180,government,n3,"37.231585,-80.416258",data,181,6
1181,emergency,n3,"37.227279,-80.421665",data,188,8
1182,educational,n1,"37.231585,-80.416258",voice,183,6
1183,scientific,n3,"37.211525,-80.445081",voice,185,6
1184,ordinary,n2,"37.231585,-80.416258",emergency,186,6
1185,scientific,n2,"37.211525,-80.445081",data,186,5
1186,educational,n1,"37.231585,-80.416258",data,189,6
1187,scientific,n1,"37.231585,-80.416258",data,192,7
1188,government,n5,"37.211525,-80.445081",emergency,193,9
1189,scientific,n5,"37.231585,-80.416258",video,192,5
1190,government,n2,"37.211525,-80.445081",emergency,196,8
1191,ordinary,n2,"37.231585,-80.416258",video,194,5
1192,ordinary,n3,"37.227279,-80.421665",video,198,9
1193,government,n5,"37.231585,-80.416258",data,198,9
1194,government,n2,"37.211525,-80.445081",voice,197,6
1195,ordinary,n3,"37.231585,-80.416258",emergency,195,8
1196,emergency,n3,"37.227279,-80.421665",emergency,196,9
1197,ordinary,n1,"37.211525,-80.445081",data,199,5
1198,government,n1,"37.231585,-80.416258",video,199,6
1199,scientific,n4,"37.227279,-80.421665",voice,202,10
1200,emergency,n3,"37.211525,-80.445081",voice,200,5
1201,government,n4,"37.231585,-80.416258",emergency,203,8
1202,government,n4,"37.231585,-80.416258",video,205,8
1203,scientific,n5,"37.227279,-80.421665",emergency,203,7
1204,ordinary,n5,"37.227279,-80.421665",video,204,5
1205,scientific,n4,"37.227279,-80.421665",emergency,210,7
1206,government,n5,"37.227279,-80.421665",voice,207,10
1207,ordinary,n2,"37.227279,-80.421665",video,213,7
1208,emergency,n1,"37.227279,-80.421665",video,214,8
1209,ordinary,n2,"37.231585,-80.416258",data,217,10
1210,educational,n4,"37.211525,-80.445081",video,212,10
1211,government,n3,"37.231585,-80.416258",emergency,212,6
1212,educational,n3,"37.231585,-80.416258",emergency,221,10
1213,government,n3,"37.227279,-80.421665",data,220,10
1214,government,n4,"37.227279,-80.421665",video,214,6
1215,government,n1,"37.227279,-80.421665",voice,220,7
1216,educational,n3,"37.231585,-80.416258",emergency,223,8
1217,emergency,n1,"37.231585,-80.416258",video,221,6
1218,educational,n2,"37.227279,-80.421665",data,224,10
1219,government,n3,"37.211525,-80.445081",voice,224,7
1220,ordinary,n4,"37.211525,-80.445081",emergency,220,6
1221,emergency,n5,"37.231585,-80.416258",data,223,10
1222,scientific,n3,"37.211525,-80.445081",emergency,224,6
1223,government,n4,"37.231585,-80.416258",emergency,231,9
1224,scientific,n3,"37.231585,-80.416258",data,228,6
1225,emergency,n1,"37.231585,-80.416258",emergency,227,7
1226,scientific,n1,"37.227279,-80.421665",emergency,226,5
1227,emergency,n2,"37.231585,-80.416258",video,231,5
1228,government,n3,"37.231585,-80.416258",voice,231,6
1229,educational,n5,"37.231585,-80.416258",emergency,233,7
1230,government,n1,"37.211525,-80.445081",video,232,7
1231,ordinary,n1,"37.231585,-80.416258",video,235,7
1232,educational,n5,"37.227279,-80.421665",video,239,10
1233,ordinary,n2,"37.227279,-80.421665",data,240,9
1234,educational,n3,"37.227279,-80.421665",emergency,235,7
1235,educational,n5,"37.227279,-80.421665",voice,240,7
1236,scientific,n5,"37.227279,-80.421665",emergency,237,7
1237,government,n5,"37.227279,-80.421665",data,242,6
1238,educational,n5,"37.227279,-80.421665",voice,240,6
1239,educational,n2,"37.231585,-80.416258",video,239,6
1240,scientific,n1,"37.227279,-80.421665",emergency,243,6
1241,government,n4,"37.231585,-80.416258",data,248,10
1242,ordinary,n1,"37.211525,-80.445081",data,246,6
1243,ordinary,n1,"37.231585,-80.416258",voice,248,8
1244,ordinary,n2,"37.227279,-80.421665",emergency,252,9
1245,government,n5,"37.211525,-80.445081",emergency,247,5
1246,ordinary,n4,"37.211525,-80.445081",voice,248,9
1247,educational,n4,"37.227279,-80.421665",data,252,7
1248,emergency,n1,"37.211525,-80.445081",video,253,6
1249,government,n1,"37.211525,-80.445081",data,258,10
1250,government,n4,"37.231585,-80.416258",emergency,253,7
1251,ordinary,n3,"37.231585,-80.416258",video,254,10
1252,ordinary,n4,"37.227279,-80.421665",emergency,252,6
1253,scientific,n1,"37.231585,-80.416258",data,259,7
1254,emergency,n2,"37.227279,-80.421665",emergency,254,5
1255,ordinary,n1,"37.227279,-80.421665",voice,258,7
1256,ordinary,n4,"37.231585,-80.416258",emergency,261,7
1257,government,n1,"37.227279,-80.421665",voice,259,5
1258,ordinary,n5,"37.211525,-80.445081",data,262,6
1259,government,n5,"37.227279,-80.421665",emergency,265,8
1260,educational,n2,"37.227279,-80.421665",video,264,10
1261,ordinary,n2,"37.227279,-80.421665",voice,262,9
1262,educational,n2,"37.231585,-80.416258",emergency,265,5
1263,educational,n3,"37.211525,-80.445081",voice,266,7
1264,emergency,n5,"37.227279,-80.421665",voice,269,8
1265,emergency,n5,"37.211525,-80.445081",emergency,265,6
1266,educational,n4,"37.211525,-80.445081",emergency,266,5
1267,scientific,n1,"37.231585,-80.416258",data,274,10
1268,scientific,n4,"37.231585,-80.416258",emergency,270,10
1269,ordinary,n3,"37.211525,-80.445081",data,278,10
1270,educational,n5,"37.211525,-80.445081",data,276,8
1271,educational,n3,"37.227279,-80.421665",data,273,5
1272,government,n2,"37.231585,-80.416258",video,273,5
1273,emergency,n3,"37.227279,-80.421665",emergency,275,6
1274,emergency,n2,"37.211525,-80.445081",emergency,275,6
1275,emergency,n4,"37.227279,-80.421665",data,277,5
1276,educational,n2,"37.231585,-80.416258",video,281,9
1277,scientific,n4,"37.211525,-80.445081",data,281,6
1278,educational,n4,"37.227279,-80.421665",video,278,6
1279,ordinary,n2,"37.211525,-80.445081",data,281,6
1280,scientific,n1,"37.231585,-80.416258",video,284,7
1281,scientific,n4,"37.227279,-80.421665",emergency,286,7
1282,scientific,n4,"37.231585,-80.416258",emergency,287,7
1283,scientific,n4,"37.211525,-80.445081",emergency,292,10
1284,government,n2,"37.231585,-80.416258",voice,293,10
1285,ordinary,n5,"37.211525,-80.445081",video,289,5
1286,government,n1,"37.227279,-80.421665",video,290,6
1287,ordinary,n3,"37.211525,-80.445081",emergency,287,7
1288,government,n1,"37.227279,-80.421665",voice,295,8
1289,ordinary,n2,"37.227279,-80.421665",emergency,289,6
1290,emergency,n1,"37.231585,-80.416258",data,297,10
1291,government,n4,"37.231585,-80.416258",data,294,5
1292,scientific,n3,"37.227279,-80.421665",emergency,294,8
1293,scientific,n4,"37.231585,-80.416258",emergency,294,6
1294,emergency,n3,"37.211525,-80.445081",voice,295,10
1295,educational,n1,"37.227279,-80.421665",data,302,8
1296,educational,n4,"37.211525,-80.445081",data,302,7
1297,emergency,n2,"37.231585,-80.416258",voice,297,8
1298,government,n2,"37.231585,-80.416258",emergency,298,9
1299,scientific,n2,"37.211525,-80.445081",emergency,302,10
1300,government,n4,"37.231585,-80.416258",voice,303,6
1301,emergency,n5,"37.231585,-80.416258",video,301,8
1302,ordinary,n1,"37.231585,-80.416258",emergency,304,7
1303,scientific,n2,"37.211525,-80.445081",voice,306,6
1304,government,n2,"37.211525,-80.445081",data,305,5
1305,scientific,n3,"37.227279,-80.421665",data,307,7
1306,scientific,n2,"37.231585,-80.416258",emergency,311,8
1307,government,n4,"37.211525,-80.445081",video,309,5
1308,scientific,n4,"37.227279,-80.421665",emergency,308,6
1309,emergency,n2,"37.211525,-80.445081",video,311,6
1310,educational,n2,"37.227279,-80.421665",video,317,10
1311,emergency,n4,"37.211525,-80.445081",emergency,312,10
1312,ordinary,n1,"37.231585,-80.416258",emergency,318,9
1313,scientific,n3,"37.231585,-80.416258",data,315,6
1314,scientific,n1,"37.231585,-80.416258",video,315,5
1315,scientific,n1,"37.231585,-80.416258",video,319,7
1316,scientific,n3,"37.211525,-80.445081",voice,318,10
1317,ordinary,n3,"37.231585,-80.416258",video,317,9
1318,ordinary,n2,"37.227279,-80.421665",voice,319,9
1319,emergency,n3,"37.227279,-80.421665",data,319,8
1320,emergency,n1,"37.227279,-80.421665",data,324,9
1321,ordinary,n2,"37.211525,-80.445081",video,322,5
1322,ordinary,n4,"37.231585,-80.416258",data,325,6
1323,government,n2,"37.227279,-80.421665",data,326,9
1324,emergency,n4,"37.231585,-80.416258",data,331,10
1325,government,n4,"37.211525,-80.445081",voice,329,10
1326,emergency,n4,"37.211525,-80.445081",video,327,6
1327,educational,n2,"37.211525,-80.445081",data,328,6
1328,scientific,n1,"37.227279,-80.421665",data,328,7
1329,government,n3,"37.211525,-80.445081",voice,337,10
1330,educational,n1,"37.211525,-80.445081",emergency,330,9
1331,ordinary,n2,"37.227279,-80.421665",voice,333,6
1332,government,n1,"37.211525,-80.445081",voice,339,8
