cbsd_id,secondary_user_type,target_band,location,data_type,start_time,duration,min_freq,max_freq,score
9417,government,n1,"37.211525,-80.445081",emergency,8421,8,2300.0,2400.0,14.0
5969,educational,n1,"37.227279,-80.421665",data,4974,7,2300.0,2400.0,11.0
2476,scientific,n1,"37.231585,-80.416258",voice,1477,7,2300.0,2400.0,11.0
3561,educational,n1,"37.211525,-80.445081",data,2564,5,2300.0,2400.0,11.0
4685,educational,n1,"37.227279,-80.421665",voice,3686,10,2300.0,2400.0,12.0
5973,educational,n1,"37.231585,-80.416258",data,4975,6,2300.0,2400.0,11.0
2472,ordinary,n1,"37.231585,-80.416258",emergency,1476,5,2300.0,2400.0,11.0
9115,educational,n1,"37.211525,-80.445081",video,8120,7,2300.0,2400.0,10.0
9117,ordinary,n1,"37.211525,-80.445081",voice,8123,7,2300.0,2400.0,10.0
9118,educational,n1,"37.231585,-80.416258",data,8122,7,2300.0,2400.0,11.0
8454,government,n1,"37.231585,-80.416258",emergency,7461,9,2300.0,2400.0,14.0
5981,educational,n1,"37.231585,-80.416258",data,4981,6,2300.0,2400.0,11.0
10279,emergency,n1,"37.211525,-80.445081",data,9280,5,2300.0,2400.0,13.0
5982,scientific,n1,"37.231585,-80.416258",voice,4984,8,2300.0,2400.0,11.0
2463,emergency,n1,"37.227279,-80.421665",video,1464,5,2300.0,2400.0,12.0
5983,emergency,n1,"37.227279,-80.421665",video,4985,8,2300.0,2400.0,12.0
9696,scientific,n1,"37.227279,-80.421665",emergency,8704,10,2300.0,2400.0,12.0
3569,educational,n1,"37.231585,-80.416258",emergency,2570,5,2300.0,2400.0,13.0
2458,scientific,n1,"37.211525,-80.445081",data,1458,7,2300.0,2400.0,10.0
4678,educational,n1,"37.211525,-80.445081",data,3680,10,2300.0,2400.0,11.0
5995,scientific,n1,"37.211525,-80.445081",data,4997,10,2300.0,2400.0,10.0
5996,government,n1,"37.227279,-80.421665",emergency,5004,9,2300.0,2400.0,14.0
5997,government,n1,"37.231585,-80.416258",data,5004,10,2300.0,2400.0,12.0
5998,ordinary,n1,"37.227279,-80.421665",video,5007,10,2300.0,2400.0,8.0
10999,ordinary,n1,"37.211525,-80.445081",emergency,10004,6,2300.0,2400.0,11.0
2451,government,n1,"37.231585,-80.416258",video,1454,10,2300.0,2400.0,11.0
9120,emergency,n1,"37.211525,-80.445081",voice,8122,6,2300.0,2400.0,14.0
8448,educational,n1,"37.211525,-80.445081",video,7455,10,2300.0,2400.0,10.0
10287,government,n1,"37.231585,-80.416258",voice,9291,5,2300.0,2400.0,13.0
8446,scientific,n1,"37.231585,-80.416258",voice,7451,8,2300.0,2400.0,11.0
2478,educational,n1,"37.211525,-80.445081",data,1478,6,2300.0,2400.0,11.0
2444,government,n1,"37.211525,-80.445081",video,1451,9,2300.0,2400.0,11.0
2479,government,n1,"37.231585,-80.416258",data,1485,9,2300.0,2400.0,12.0
10273,ordinary,n1,"37.211525,-80.445081",data,9278,6,2300.0,2400.0,9.0
5922,educational,n1,"37.227279,-80.421665",video,4925,6,2300.0,2400.0,10.0
2514,educational,n1,"37.211525,-80.445081",video,1519,9,2300.0,2400.0,10.0
5923,government,n1,"37.211525,-80.445081",video,4923,8,2300.0,2400.0,11.0
2512,government,n1,"37.211525,-80.445081",video,1517,10,2300.0,2400.0,11.0
5924,educational,n1,"37.227279,-80.421665",emergency,4929,8,2300.0,2400.0,13.0
9108,ordinary,n1,"37.227279,-80.421665",video,8112,9,2300.0,2400.0,8.0
10259,ordinary,n1,"37.211525,-80.445081",emergency,9266,10,2300.0,2400.0,11.0
8479,government,n1,"37.227279,-80.421665",data,7481,9,2300.0,2400.0,12.0
2506,scientific,n1,"37.231585,-80.416258",data,1507,9,2300.0,2400.0,10.0
9110,educational,n1,"37.211525,-80.445081",voice,8113,5,2300.0,2400.0,12.0
2503,ordinary,n1,"37.211525,-80.445081",voice,1505,7,2300.0,2400.0,10.0
5937,government,n1,"37.231585,-80.416258",data,4944,10,2300.0,2400.0,12.0
4692,scientific,n1,"37.211525,-80.445081",video,3696,5,2300.0,2400.0,9.0
5941,scientific,n1,"37.211525,-80.445081",voice,4944,9,2300.0,2400.0,11.0
4691,government,n1,"37.231585,-80.416258",data,3693,5,2300.0,2400.0,12.0
8470,educational,n1,"37.227279,-80.421665",emergency,7474,7,2300.0,2400.0,13.0
2497,scientific,n1,"37.231585,-80.416258",video,1503,8,2300.0,2400.0,9.0
10264,ordinary,n1,"37.211525,-80.445081",data,9267,7,2300.0,2400.0,9.0
3556,ordinary,n1,"37.231585,-80.416258",voice,2560,5,2300.0,2400.0,10.0
5951,educational,n1,"37.211525,-80.445081",data,4955,6,2300.0,2400.0,11.0
8459,scientific,n1,"37.227279,-80.421665",video,7464,9,2300.0,2400.0,9.0
5958,scientific,n1,"37.227279,-80.421665",emergency,4959,7,2300.0,2400.0,12.0
2489,scientific,n1,"37.231585,-80.416258",data,1493,9,2300.0,2400.0,10.0
5960,scientific,n1,"37.231585,-80.416258",video,4965,6,2300.0,2400.0,9.0
5961,ordinary,n1,"37.227279,-80.421665",emergency,4962,6,2300.0,2400.0,11.0
5963,emergency,n1,"37.231585,-80.416258",voice,4964,5,2300.0,2400.0,14.0
5964,scientific,n1,"37.211525,-80.445081",video,4969,6,2300.0,2400.0,9.0
3560,ordinary,n1,"37.227279,-80.421665",video,2563,9,2300.0,2400.0,8.0
10272,emergency,n1,"37.231585,-80.416258",video,9277,6,2300.0,2400.0,12.0
5968,educational,n1,"37.231585,-80.416258",data,4971,8,2300.0,2400.0,11.0
8484,government,n1,"37.211525,-80.445081",data,7490,10,2300.0,2400.0,12.0
2443,emergency,n1,"37.231585,-80.416258",data,1450,9,2300.0,2400.0,13.0
9693,government,n1,"37.211525,-80.445081",data,8700,8,2300.0,2400.0,12.0
