cbsd_id,type,band,weather,density,traffic
1,educational,n3,rainy,rural,data
2,educational,n4,cloudy,rural,video
3,emergency,n3,foggy,urban,voice
4,ordinary,n3,foggy,semi-urban,emergency
5,ordinary,n2,snowy,semi-urban,data
6,emergency,n4,emergency,urban,voice
7,ordinary,n1,emergency,rural,data
8,emergency,n4,foggy,urban,emergency
9,educational,n1,sunny,rural,emergency
10,educational,n3,emergency,semi-urban,video
11,emergency,n5,rainy,semi-urban,video
12,government,n2,foggy,semi-urban,video
13,ordinary,n3,emergency,semi-urban,voice
14,government,n1,sunny,urban,video
15,educational,n5,cloudy,urban,voice
16,educational,n5,emergency,rural,emergency
17,ordinary,n4,snowy,urban,data
18,emergency,n3,emergency,urban,voice
19,government,n2,snowy,rural,voice
20,scientific,n4,sunny,semi-urban,voice
21,ordinary,n1,emergency,urban,emergency
22,ordinary,n1,emergency,rural,video
23,scientific,n4,sunny,urban,voice
24,scientific,n2,sunny,rural,emergency
25,emergency,n2,cloudy,semi-urban,voice
26,scientific,n3,rainy,rural,emergency
27,educational,n5,emergency,rural,video
28,emergency,n5,snowy,semi-urban,emergency
29,government,n5,rainy,urban,emergency
30,government,n5,foggy,rural,voice
31,emergency,n4,snowy,urban,data
32,government,n1,foggy,rural,data
33,government,n5,emergency,rural,emergency
34,educational,n1,emergency,rural,emergency
35,educational,n2,sunny,rural,voice
36,government,n3,emergency,urban,video
37,scientific,n5,snowy,urban,voice
38,ordinary,n3,sunny,urban,voice
39,educational,n1,cloudy,urban,voice
40,educational,n2,cloudy,semi-urban,video
41,ordinary,n5,emergency,urban,voice
42,government,n4,foggy,urban,voice
43,educational,n4,emergency,urban,video
44,educational,n2,rainy,semi-urban,voice
45,ordinary,n3,snowy,semi-urban,emergency
46,emergency,n3,sunny,rural,video
47,scientific,n5,snowy,urban,video
48,ordinary,n4,sunny,semi-urban,data
49,educational,n2,sunny,urban,voice
50,government,n1,foggy,rural,data
51,government,n3,foggy,rural,data
52,scientific,n5,cloudy,semi-urban,video
53,scientific,n3,snowy,semi-urban,data
54,educational,n1,cloudy,urban,emergency
55,scientific,n3,sunny,urban,video
56,ordinary,n5,foggy,rural,voice
57,educational,n1,emergency,semi-urban,data
58,emergency,n3,rainy,semi-urban,data
59,government,n4,sunny,urban,video
60,educational,n3,snowy,urban,data
61,scientific,n1,emergency,urban,voice
62,educational,n5,foggy,semi-urban,data
63,government,n2,rainy,urban,data
64,government,n2,sunny,rural,data
65,government,n4,emergency,rural,voice
66,ordinary,n1,foggy,rural,emergency
67,scientific,n3,foggy,rural,data
68,educational,n3,emergency,rural,data
69,educational,n5,emergency,rural,data
70,educational,n3,rainy,urban,emergency
71,ordinary,n1,cloudy,rural,data
72,scientific,n3,rainy,urban,data
73,scientific,n1,foggy,rural,emergency
74,ordinary,n5,rainy,urban,emergency
75,emergency,n2,cloudy,rural,data
76,scientific,n1,sunny,urban,emergency
77,scientific,n3,emergency,rural,voice
78,ordinary,n4,sunny,semi-urban,voice
79,emergency,n5,rainy,semi-urban,voice
80,government,n3,sunny,urban,data
81,educational,n2,cloudy,rural,voice
82,government,n1,snowy,semi-urban,data
83,government,n5,emergency,semi-urban,video
84,ordinary,n3,cloudy,rural,emergency
85,government,n1,snowy,semi-urban,video
86,educational,n2,foggy,rural,data
87,emergency,n4,sunny,semi-urban,voice
88,scientific,n2,emergency,rural,data
89,scientific,n3,snowy,semi-urban,voice
90,government,n3,rainy,urban,data
91,emergency,n5,rainy,urban,data
92,emergency,n1,snowy,semi-urban,data
93,ordinary,n4,rainy,rural,emergency
94,ordinary,n4,rainy,urban,video
95,emergency,n3,snowy,rural,emergency
96,emergency,n5,snowy,urban,video
97,emergency,n5,foggy,urban,voice
98,emergency,n5,rainy,semi-urban,emergency
99,emergency,n4,rainy,semi-urban,voice
100,emergency,n3,cloudy,semi-urban,voice
101,educational,n4,cloudy,rural,emergency
102,scientific,n5,snowy,rural,emergency
103,scientific,n5,emergency,semi-urban,voice
104,scientific,n2,snowy,semi-urban,data
105,educational,n1,emergency,rural,emergency
106,government,n5,rainy,urban,video
107,ordinary,n3,emergency,urban,emergency
108,government,n3,rainy,urban,video
109,scientific,n4,foggy,rural,emergency
110,emergency,n2,snowy,semi-urban,voice
111,educational,n1,emergency,semi-urban,voice
112,government,n5,cloudy,urban,data
113,ordinary,n2,foggy,urban,data
114,ordinary,n4,snowy,rural,data
115,emergency,n5,snowy,semi-urban,emergency
116,ordinary,n3,cloudy,urban,emergency
117,educational,n4,cloudy,rural,video
118,ordinary,n5,snowy,semi-urban,data
119,government,n1,emergency,rural,data
120,emergency,n3,snowy,semi-urban,video
121,government,n4,emergency,semi-urban,emergency
