cbsd_id,type,band,weather,density,traffic,min_freq,max_freq,score
7478,emergency,n1,rainy,semi-urban,data,2300.0,2400.0,12.0
8249,educational,n1,emergency,rural,data,2300.0,2400.0,9.0
3686,scientific,n1,cloudy,urban,emergency,2300.0,2400.0,12.0
6297,emergency,n1,emergency,semi-urban,data,2300.0,2400.0,10.0
8244,educational,n1,emergency,rural,data,2300.0,2400.0,9.0
1724,scientific,n1,snowy,urban,video,2300.0,2400.0,6.0
1725,government,n1,rainy,urban,video,2300.0,2400.0,9.0
1716,educational,n1,snowy,urban,emergency,2300.0,2400.0,10.0
8233,ordinary,n1,rainy,semi-urban,emergency,2300.0,2400.0,10.0
3671,ordinary,n1,foggy,rural,emergency,2300.0,2400.0,12.0
6299,emergency,n1,cloudy,rural,voice,2300.0,2400.0,16.0
1734,educational,n1,rainy,rural,emergency,2300.0,2400.0,13.0
6300,government,n1,cloudy,semi-urban,data,2300.0,2400.0,13.0
8223,scientific,n1,foggy,urban,emergency,2300.0,2400.0,11.0
6303,scientific,n1,emergency,urban,emergency,2300.0,2400.0,8.0
8230,ordinary,n1,rainy,semi-urban,voice,2300.0,2400.0,9.0
8250,emergency,n1,foggy,rural,voice,2300.0,2400.0,15.0
8253,educational,n1,snowy,urban,voice,2300.0,2400.0,9.0
6282,educational,n1,sunny,semi-urban,data,2300.0,2400.0,13.0
3701,emergency,n1,cloudy,rural,video,2300.0,2400.0,14.0
3698,government,n1,emergency,urban,voice,2300.0,2400.0,9.0
1695,educational,n1,rainy,semi-urban,voice,2300.0,2400.0,11.0
8266,government,n1,sunny,urban,video,2300.0,2400.0,12.0
8264,scientific,n1,sunny,urban,data,2300.0,2400.0,11.0
3697,ordinary,n1,foggy,semi-urban,voice,2300.0,2400.0,10.0
1699,emergency,n1,snowy,rural,video,2300.0,2400.0,11.0
1700,educational,n1,rainy,urban,data,2300.0,2400.0,9.0
1701,emergency,n1,sunny,rural,data,2300.0,2400.0,16.0
6273,government,n1,rainy,urban,data,2300.0,2400.0,10.0
1703,government,n1,rainy,urban,emergency,2300.0,2400.0,12.0
8260,educational,n1,cloudy,semi-urban,emergency,2300.0,2400.0,14.0
3694,government,n1,snowy,urban,video,2300.0,2400.0,8.0
3693,government,n1,sunny,rural,video,2300.0,2400.0,14.0
3692,ordinary,n1,rainy,semi-urban,data,2300.0,2400.0,8.0
1740,scientific,n1,foggy,semi-urban,video,2300.0,2400.0,9.0
1690,scientific,n1,snowy,rural,data,2300.0,2400.0,9.0
3665,educational,n1,snowy,semi-urban,emergency,2300.0,2400.0,11.0
1743,emergency,n1,emergency,urban,video,2300.0,2400.0,8.0
6318,ordinary,n1,cloudy,rural,video,2300.0,2400.0,10.0
1771,ordinary,n1,rainy,urban,voice,2300.0,2400.0,8.0
3641,government,n1,snowy,urban,voice,2300.0,2400.0,10.0
6322,emergency,n1,snowy,urban,video,2300.0,2400.0,9.0
1777,emergency,n1,cloudy,rural,video,2300.0,2400.0,14.0
6325,scientific,n1,sunny,rural,data,2300.0,2400.0,13.0
8193,educational,n1,foggy,rural,data,2300.0,2400.0,12.0
8186,ordinary,n1,rainy,rural,emergency,2300.0,2400.0,11.0
3632,government,n1,foggy,semi-urban,video,2300.0,2400.0,11.0
6334,scientific,n1,emergency,urban,data,2300.0,2400.0,6.0
6335,educational,n1,sunny,rural,emergency,2300.0,2400.0,16.0
8170,government,n1,cloudy,rural,voice,2300.0,2400.0,15.0
8166,emergency,n1,sunny,urban,video,2300.0,2400.0,13.0
3623,ordinary,n1,snowy,rural,video,2300.0,2400.0,7.0
1783,ordinary,n1,snowy,urban,voice,2300.0,2400.0,7.0
3648,scientific,n1,sunny,semi-urban,data,2300.0,2400.0,12.0
1767,scientific,n1,rainy,urban,data,2300.0,2400.0,8.0
3649,government,n1,snowy,rural,emergency,2300.0,2400.0,13.0
1746,government,n1,foggy,semi-urban,data,2300.0,2400.0,12.0
3661,educational,n1,emergency,semi-urban,emergency,2300.0,2400.0,10.0
3660,educational,n1,sunny,rural,video,2300.0,2400.0,13.0
1750,emergency,n1,cloudy,rural,voice,2300.0,2400.0,16.0
3659,scientific,n1,cloudy,semi-urban,voice,2300.0,2400.0,12.0
8217,government,n1,rainy,rural,voice,2300.0,2400.0,13.0
1753,scientific,n1,snowy,rural,voice,2300.0,2400.0,10.0
6304,ordinary,n1,cloudy,urban,emergency,2300.0,2400.0,11.0
8207,emergency,n1,rainy,urban,video,2300.0,2400.0,10.0
8206,government,n1,foggy,urban,voice,2300.0,2400.0,12.0
1759,emergency,n1,sunny,semi-urban,video,2300.0,2400.0,14.0
8204,emergency,n1,rainy,rural,voice,2300.0,2400.0,14.0
1761,emergency,n1,cloudy,rural,data,2300.0,2400.0,15.0
8200,emergency,n1,emergency,rural,video,2300.0,2400.0,10.0
8199,educational,n1,rainy,rural,video,2300.0,2400.0,10.0
1742,ordinary,n1,emergency,rural,voice,2300.0,2400.0,8.0
8161,emergency,n1,emergency,urban,video,2300.0,2400.0,8.0
3703,educational,n1,foggy,rural,emergency,2300.0,2400.0,14.0
8272,emergency,n1,snowy,urban,video,2300.0,2400.0,9.0
6185,educational,n1,sunny,semi-urban,video,2300.0,2400.0,12.0
1618,scientific,n1,snowy,semi-urban,video,2300.0,2400.0,7.0
6187,emergency,n1,rainy,urban,voice,2300.0,2400.0,12.0
6189,ordinary,n1,foggy,semi-urban,emergency,2300.0,2400.0,11.0
8337,educational,n1,cloudy,urban,data,2300.0,2400.0,11.0
